None;0;None
ExchRateGain;1;Sales tax
ExchRateGain;1;Customer
ExchRateGain;1;Foreign currency revaluation
ExchRateGain;1;Vendor
ExchRateGain;1;None
ExchRateLoss;2;Foreign currency revaluation
ExchRateLoss;2;None
ExchRateLoss;2;Vendor
ExchRateLoss;2;Sales tax
ExchRateLoss;2;Customer
InterCompany;3;General journal
InterCompany;3;None
Tax;4;Transfer
Tax;4;Sales order
Tax;4;Customer
Tax;4;Purchase order
Tax;4;Vendor
Tax;4;Sales tax
Tax;4;Project
Tax;4;None
Tax;4;General journal
Allocation;6;Vendor
Allocation;6;General journal
Allocation;6;None
MSTDiffSecond;9;General journal
MSTDiffSecond;9;Fixed assets
MSTDiffSecond;9;Vendor
MSTDiffSecond;9;Allocation
MSTDiffSecond;9;Sales order
MSTDiffSecond;9;None
MSTDiffSecond;9;Customer
MSTDiffSecond;9;Purchase order
MSTDiff;11;General journal
MSTDiff;11;Vendor
MSTDiff;11;Allocation
MSTDiff;11;None
MSTDiff;11;Customer
MSTDiff;11;Sales order
MSTDiff;11;Purchase order
Closing;13;Transfer
LedgerJournal;14;Fixed assets
LedgerJournal;14;Customer
LedgerJournal;14;General journal
LedgerJournal;14;Vendor
LedgerJournal;14;Payment
LedgerJournal;14;Transfer
LedgerJournal;14;Sales order
LedgerJournal;14;Allocation
LedgerJournal;14;None
LedgerJournal;14;Purchase order
TransferOpeningClosing;19;None
Bank;20;Customer
Bank;20;Vendor
Bank;20;General journal
Bank;20;Payment
Bank;20;None
Bank;20;Bank
TaxWithhold;23;None
TaxWithhold;23;Vendor
TaxWithhold;23;Customer
CustBalance;31;Project
CustBalance;31;Vendor
CustBalance;31;General journal
CustBalance;31;Foreign currency revaluation
CustBalance;31;None
CustBalance;31;Sales order
CustBalance;31;Customer
CustBalance;31;Payment
CustRevenue;32;Customer
CustRevenue;32;None
CustCashDisc;34;Customer
CustCashDisc;34;None
CustInvoiceDisc;37;Sales order
CustSettlement;40;None
CustSettlement;40;Customer
VendBalance;41;None
VendBalance;41;Transfer
VendBalance;41;Payment
VendBalance;41;Fixed assets
VendBalance;41;Vendor
VendBalance;41;General journal
VendBalance;41;Foreign currency revaluation
VendBalance;41;Purchase order
VendPurchLedger;42;Purchase order
VendCashDisc;45;None
VendCashDisc;45;Vendor
VendInvoiceDisc;47;Purchase order
VendSettlement;48;Vendor
VendSettlement;48;None
CrossCompanySettlement;49;Vendor
CrossCompanySettlement;49;Customer
SalesRevenue;51;Sales order
SalesRoundOff;58;Sales order
SalesRoundOff;58;Customer
SalesPckSlipRevenue;64;Sales order
SalesPckSlipRevenueOffsetAccou;65;Sales order
PurchConsump;71;Purchase order
PurchDisc;72;Purchase order
PurchFee;75;Purchase order
PurchPostage;76;Purchase order
PurchaseInvoiceRoundOff;78;Purchase order
PurchaseInvoiceRoundOff;78;None
PurchOffsetAccountPckSlp;83;Purchase order
ProjCost;121;Purchase order
ProjCost;121;General journal
ProjCost;121;None
ProjCost;121;Project
ProjPayrollAllocation;122;Project
ProjSalesvalue;128;Project
ProjSalesvalueOffset;129;Project
ProjWIPInvoicedOnAccount;138;Project
DeferredCost;144;None
ReportingCurrencyAdjustment;156;Sales order
FixedAssetsDebit;161;Customer
FixedAssetsDebit;161;Fixed assets
FixedAssetsDebit;161;None
FixedAssetsDebit;161;Purchase order
FixedAssetsDebit;161;General journal
FixedAssetsDebit;161;Vendor
FixedAssetsCredit;162;Customer
FixedAssetsCredit;162;Fixed assets
FixedAssetsCredit;162;General journal
FixedAssetsCredit;162;None
FixedAssetsCredit;162;Vendor
PurchPckSlpPurchaseOffsetAccou;203;Purchase order
PurchPckSlpTax;204;Purchase order
SalesPackingslipTax;206;Sales order
PurchAdvance;212;Purchase order
PurchAdvance;212;None
PurchAdvanceApplication;214;Purchase order
PurchExpense;236;Purchase order
PurchExpense;236;None
BankStatement;249;Bank
